,Year,Month,Day,Hour,Minute,Temperature.daily.mean..2.m.above.gnd.,Relative.Humidity.daily.mean..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.mean..MSL.,Total.Precipitation.daily.sum..sfc.,Snowfall.amount.raw.daily.sum..sfc.,Total.Cloud.Cover.daily.mean..sfc.,High.Cloud.Cover.daily.mean..high.cld.lay.,Medium.Cloud.Cover.daily.mean..mid.cld.lay.,Low.Cloud.Cover.daily.mean..low.cld.lay.,Sunshine.Duration.daily.sum..sfc.,Shortwave.Radiation.daily.sum..sfc.,Wind.Speed.daily.mean..10.m.above.gnd.,Wind.Direction.daily.mean..10.m.above.gnd.,Wind.Speed.daily.mean..80.m.above.gnd.,Wind.Direction.daily.mean..80.m.above.gnd.,Wind.Speed.daily.mean..900.mb.,Wind.Direction.daily.mean..900.mb.,Wind.Gust.daily.mean..sfc.,Temperature.daily.max..2.m.above.gnd.,Temperature.daily.min..2.m.above.gnd.,Relative.Humidity.daily.max..2.m.above.gnd.,Relative.Humidity.daily.min..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.max..MSL.,Mean.Sea.Level.Pressure.daily.min..MSL.,Total.Cloud.Cover.daily.max..sfc.,Total.Cloud.Cover.daily.min..sfc.,High.Cloud.Cover.daily.max..high.cld.lay.,High.Cloud.Cover.daily.min..high.cld.lay.,Medium.Cloud.Cover.daily.max..mid.cld.lay.,Medium.Cloud.Cover.daily.min..mid.cld.lay.,Low.Cloud.Cover.daily.max..low.cld.lay.,Low.Cloud.Cover.daily.min..low.cld.lay.,Wind.Speed.daily.max..10.m.above.gnd.,Wind.Speed.daily.min..10.m.above.gnd.,Wind.Speed.daily.max..80.m.above.gnd.,Wind.Speed.daily.min..80.m.above.gnd.,Wind.Speed.daily.max..900.mb.,Wind.Speed.daily.min..900.mb.,Wind.Gust.daily.max..sfc.,Wind.Gust.daily.min..sfc.,pluie.demain
1,2010,6,1,0,0,13.45,77.88,1015.76,0.1,0,65.04,33.12,36.88,45.08,350.81,5721.81,8.97,280.93,11.61,279.54,14.56,318.28,12.21,17.57,8.1,96,61,1018.4,1013.1,100,1,100,0,100,0,100,0,14.06,2.41,21.61,1.44,28.77,4.39,23.4,3.24,TRUE
3,2010,6,3,0,0,14.27,83.58,1016.39,0,0,80.95,31.62,10.83,80.54,68.66,3551.1,8.61,220.96,11.64,228.49,22.92,75.29,12.76,18.17,10.32,96,71,1017.5,1015.3,100,3.3,100,0,100,0,100,0,15.26,2.74,20.47,3.71,40.76,2.1,24.12,3.24,FALSE
5,2010,6,5,0,0,19.88,66.58,1018.18,0,0,0,0,0,0,891.68,8284.12,4.47,171.87,6.17,194,10.59,167.13,5.57,25.61,12.35,88,47,1020.7,1015.7,0,0,0,0,0,0,0,0,8.71,0.51,18.67,0.72,21.97,0.51,15.84,0.72,TRUE
7,2010,6,7,0,0,19.31,72,1013.6,0.4,0,49.69,24.12,24.33,49.25,666.7,7455.53,10.05,258.72,12.64,281.44,19.9,276.32,16.94,22.65,15.27,91,54,1015.8,1010.3,100,0.3,100,0,100,0,100,0,16.62,0.51,20.88,0.72,41.41,3.6,32.76,0.72,TRUE
9,2010,6,9,0,0,22.06,74.29,1005.01,2,0,58.77,48.42,54.67,22.17,400.71,6531.71,10.73,176.58,14.2,173.14,16.6,207.83,11.99,27.88,15.47,89,49,1006.7,1003.2,100,3,100,7,100,0,100,0,21.65,3.22,27.57,2.16,25.92,4.02,27.72,3.24,FALSE
11,2010,6,11,0,0,20.85,76.21,1009.33,1.4,0,49.75,0.21,9.42,49.75,537,6748.87,6.36,237.02,8.11,237.73,11.71,228.86,9.48,24.38,16.45,97,61,1010.7,1006.2,100,0,5,0,100,0,100,0,27.76,0.72,33.53,0.8,34.58,0.8,41.04,1.08,TRUE
13,2010,6,13,0,0,16.13,86.12,1013.63,5.1,0,92.08,11.04,60.92,91.67,0,2350.49,8.62,300.68,12.32,306.51,9.53,240.93,11.31,17.73,13.64,96,78,1014.7,1012.2,100,0,100,0,100,0,100,0,12.03,4.68,20.16,6.48,19.49,0,22.32,5.76,TRUE
15,2010,6,15,0,0,15.94,87.92,1014.41,8.2,0,77.6,50.75,53.67,75.04,29.27,2675.34,9.94,164.11,12.22,156.58,27.77,75.56,13.24,20.42,11.98,96,75,1015.7,1013.1,100,0,100,0,100,0,100,0,17.73,1.8,20.57,2.04,42.05,14.78,24.48,2.88,TRUE
17,2010,6,17,0,0,15.04,90.71,1012.7,4.8,0,100,28.54,45.33,100,0,2255.26,8.03,310.06,9.85,316.59,15.15,197.46,9.81,17.58,13.18,97,78,1013.4,1012.2,100,100,100,0,100,0,100,100,11.97,3.71,18.95,5.96,28.34,2.9,31.68,4.32,TRUE
19,2010,6,19,0,0,12.54,82.38,1009.01,5.3,0,82.57,64.08,63.17,63.79,164.07,3157.72,12.48,311.6,17.21,320.7,21.23,310.99,17.11,14.13,10.64,94,69,1011.1,1007.8,100,1,100,0,100,0,100,0,19.39,5.59,23.11,11.92,28.55,14.58,28.08,8.28,TRUE
21,2010,6,21,0,0,12.74,76.75,1017.64,0.2,0,65.23,3.04,0,65.08,494.36,7087.07,14.63,173.48,19.69,166.44,24.36,38.28,20.28,16.21,8.52,92,64,1020.3,1015.4,100,4.5,19,0,0,0,100,1,23.38,6.64,25.28,13.53,33.09,14.69,26.64,8.64,FALSE
23,2010,6,23,0,0,16.56,67.5,1020.31,0,0,26.18,10.38,0,24.67,668.82,7810.64,6.97,109.2,7.86,113.94,23.98,73.9,8.22,22.62,9.67,94,45,1022.3,1018.2,100,0,42,0,0,0,100,0,14.18,0.8,13.71,1.61,41.86,12.88,19.44,1.44,FALSE
25,2010,6,25,0,0,20.56,63.79,1015.44,0,0,13.46,14.96,10.17,1.67,790.49,7957.49,5.23,174.74,6.61,165.44,9.14,111.79,6.25,25.34,14.76,80,48,1016.7,1013.6,100,0,100,0,100,0,10,0,8.35,1.84,15.19,1.08,13.8,1.53,10.8,2.88,FALSE
27,2010,6,27,0,0,21.37,74.33,1016.36,0,0,14.05,15.75,1.5,9.33,822.69,7950.37,3.64,183.14,4.52,179.65,12.97,71.49,4.18,26.7,15.24,98,57,1017.6,1014.7,100,0,100,0,36,0,100,0,9.03,0.36,9.09,0,24.44,4.35,8.64,0.72,TRUE
29,2010,6,29,0,0,23.67,62.62,1017.97,0.2,0,9.59,0.75,6.67,8.17,833.15,7277.53,4.71,276.77,5.76,286.77,6.41,251.13,6.19,27.8,19.15,79,46,1018.5,1017,71,0,9,0,71,0,71,0,10.64,0.36,13.24,0.51,14.24,0.72,12.6,1.08,FALSE
31,2010,7,1,0,0,23.46,68.92,1016.08,0,0,5.98,19.92,0,0,884.79,8082.09,2.34,183.47,2.11,212.77,5.6,131.48,3.21,28.12,17.27,91,50,1018.4,1013.7,30,0,100,0,0,0,0,0,4.68,1.08,5.12,0.36,10.54,1.8,6.48,0.72,FALSE
33,2010,7,3,0,0,25.56,67.04,1016.35,0.5,0,28.09,26.5,24.17,11.08,627.05,6112.52,5.73,213.75,7.3,201.29,7.36,251.37,5.86,30.29,21.76,90,50,1018.4,1015.5,100,0,100,0,100,0,77,0,10.59,0,11.01,0.8,11.18,2.04,11.88,0.72,TRUE
35,2010,7,5,0,0,21.99,69.25,1019.42,0.9,0,7.42,0,0,7.42,896.9,8013.56,8.93,271.66,10.49,260.48,12.06,277.25,12.24,26.2,17.89,94,47,1020.7,1018,52,0,0,0,0,0,52,0,18.89,3.62,29.38,1.84,21.99,5.51,34.2,5.04,TRUE
37,2010,7,7,0,0,19.65,66.92,1021.3,0,0,1.24,4.12,0,0,952.62,8123.92,5.98,112.05,8.55,106.93,16.57,83.89,9.85,25.66,12.68,90,49,1022.9,1019.3,9,0,30,0,0,0,0,0,13.32,1.02,22.91,0.8,27.36,7.63,24.84,1.8,FALSE
39,2010,7,9,0,0,25.27,62.75,1018.44,0,0,19.38,28.46,17.04,0,614.71,7173.4,6.36,124.41,8.84,118.87,11.37,175.85,6.22,31.09,19.64,83,50,1020.1,1016.8,100,0,100,0,100,0,0,0,10.44,1.3,16.64,0,16.87,5.41,12.6,1.8,TRUE
41,2010,7,11,0,0,25.63,66.38,1017.23,1.9,0,9.02,9.38,5.12,2.5,780.01,7524.95,7.82,227.33,9.66,236.28,12.44,259.38,10.39,29.07,21.16,81,53,1018.4,1015.8,100,0,48,0,100,0,10,0,12.26,2.55,19.84,2.88,22.01,0.8,22.32,2.88,TRUE
43,2010,7,13,0,0,22.74,78.54,1012.49,1.3,0,37.89,47.96,13.62,29.88,560.17,6766.67,4.3,230.38,5.78,226.35,9.55,234.09,5.04,27.3,17.42,97,59,1014.3,1009.3,100,0,100,0,100,0,100,0,8.05,0.72,13.2,1.48,16.75,3.55,8.64,2.52,TRUE
45,2010,7,15,0,0,21.66,68.21,1014.72,0,0,49.46,9.25,10.62,38.92,492.36,7093.3,9.75,269.2,12.13,292.92,21.69,274.73,16.95,24.12,18.38,88,57,1017.2,1009,100,0,100,0,100,0,100,0,17.87,2.1,25.5,2.41,50.2,1.14,38.16,1.8,FALSE
47,2010,7,17,0,0,21.3,67.42,1019.38,2.3,0,59.33,22.62,46.71,49,202.72,4131.38,11.6,275.13,14.73,286.22,15.85,303.89,15.63,24.69,18.64,79,59,1022.6,1015.7,100,0,100,0,100,0,100,0,24.29,1.8,28.67,3.24,36.66,3.1,29.16,3.6,FALSE
49,2010,7,19,0,0,19.31,70.29,1020.39,0,0,21.08,0,0,21.08,622.28,7580.13,9.95,145.2,12.9,145,33.23,85.48,12.59,25.78,13.02,96,46,1022.7,1017.8,100,0,0,0,0,0,100,0,18.72,2.62,25.05,2.31,53.7,20.83,24.48,0.72,FALSE
51,2010,7,21,0,0,24.73,63.33,1009.29,0.1,0,14,14.38,10.92,7.96,763.6,7514.27,4.53,179.61,4.57,188.22,14.81,240.77,4.82,29.88,18.83,86,46,1010.2,1008.2,100,0,100,0,100,0,72,0,8.44,1.14,10.95,1.08,32.42,0.36,8.64,0.36,TRUE
53,2010,7,23,0,0,16.1,88.25,1018.4,18.2,0,91.67,24,60.83,87.54,0,1440.91,12.85,265.55,17.36,274.03,25.03,307.35,21.3,17.46,14.18,96,80,1021.5,1016.9,100,30,100,0,100,0,100,0,26.83,4.21,34.32,9,48.55,11.89,46.8,6.12,TRUE
55,2010,7,25,0,0,17.23,62.62,1017.73,0,0,40.21,7.25,28.96,12.04,502.99,7604.16,8.64,303.24,9.9,323.5,14.2,291.76,9.97,21.13,12.61,81,45,1020.1,1015.2,100,0,43,0,100,0,100,0,17.06,2.9,17.82,2.74,23.44,5.9,18.72,2.52,TRUE
57,2010,7,27,0,0,17.71,73.08,1017.59,9.7,0,47.8,0.75,7.79,41.42,642.41,6222.88,9.26,268.98,11.35,271.04,16.16,285.02,14.36,22,13.57,94,52,1019.6,1013.8,100,0.3,11,0,68,0,100,0,19.25,1.84,26.34,1.48,32.86,5.76,36.36,5.4,TRUE
59,2010,7,29,0,0,16.29,82.54,1013.42,10.5,0,83.96,17.08,48.21,65.12,194.68,2890.72,13.35,231.28,17.64,243.86,27.6,285.55,19.09,18.63,13.8,98,71,1015.9,1011.7,100,10,100,0,100,0,100,0,24.12,3.62,28.44,5.69,39.4,15.41,32.76,3.24,TRUE
61,2010,7,31,0,0,18.54,64,1016.96,0,0,0.33,1.08,0,0,904.45,7565,7.36,113.83,11.18,108.88,12.59,133.83,7.46,24.14,12.45,84,46,1018.3,1015.6,6.9,0,23,0,0,0,0,0,15,1.61,17.71,1.53,21.92,1.53,15.84,2.52,TRUE
63,2010,8,2,0,0,18.55,90.25,1016.03,10.6,0,96.46,69.33,96.46,75.71,0,1677.65,5.66,142.45,7.54,150.68,20.97,259.55,8.65,20.19,17.31,96,83,1016.6,1015.2,100,17,100,0,100,17,100,0,15.12,1.48,23.8,1.8,34.92,6.84,32.76,1.44,TRUE
65,2010,8,4,0,0,18.18,68.83,1012.51,0.2,0,50.02,42.5,48.04,16.54,398.13,6451.61,7.68,210.12,9.49,210.48,13.38,251.13,10.56,22.96,13.65,82,51,1016.4,1009.1,100,0,100,0,100,0,100,0,17.29,2.1,19.88,2.19,35.75,1.94,21.6,1.08,TRUE
67,2010,8,6,0,0,16.31,66.96,1017.24,0,0,26.25,4.67,0,26.25,929.01,7229.47,7.69,297.01,11.32,306.8,15.39,335.37,10.23,19.99,11.16,86,52,1019.1,1014.6,100,0,46,0,0,0,100,0,11.21,4.32,21.76,5.5,30.17,7.95,22.32,5.04,FALSE
69,2010,8,8,0,0,19,73.62,1017.7,2.5,0,39.08,2.46,17,29.79,521.92,4733.91,8.62,216.61,9.47,226.27,20.99,271.04,10.8,21.59,16.77,89,65,1019,1016.9,100,0,59,0,90,0,100,0,19.49,0.51,23.21,1.48,31.26,11.38,27,1.8,FALSE
71,2010,8,10,0,0,21.21,67.58,1015.92,0,0,31.86,22.38,31.46,0,506.38,6162.36,4.06,207.87,4.72,209.52,8.89,272.71,4.62,25.65,16.6,88,48,1017,1014.7,100,0,100,0,100,0,0,0,6.15,0.72,7.24,0.8,12.73,6.44,7.92,1.44,FALSE
73,2010,8,12,0,0,18.28,83.25,1014.65,18,0,77.24,47.29,60.04,68.12,171.34,2996.63,7.95,244.06,10.13,255.84,23.36,266.84,13.32,20.33,16.02,96,70,1016.6,1013.3,100,0,100,0,100,0,100,0,14.11,2.81,15.19,0.72,40.9,11.72,25.92,3.96,FALSE
75,2010,8,14,0,0,17.65,81.96,1013.75,8.2,0,88.58,50.21,61.67,74.38,133.91,4092.22,4.34,264.33,5.89,276.87,16.17,86.56,6.63,21.55,13.39,97,64,1016.2,1008.9,100,0,100,0,100,0,100,0,12.57,0.72,20.28,1.08,33.85,6.15,20.16,0.72,TRUE
77,2010,8,16,0,0,14.72,77.83,1014.47,19.1,0,100,13.62,92.21,100,0,1815.6,19.52,235.87,26.86,238.65,59.1,256.33,42.6,16.2,13.12,85,69,1016.1,1012.5,100,100,100,0,100,0,100,100,26.8,6.99,35.63,15.79,72.49,46.04,54.36,10.44,TRUE
79,2010,8,18,0,0,17.66,73.04,1012.11,0.2,0,86.17,37.12,60.42,83.75,69.82,2130.66,9.03,200.51,12.35,224.28,39.05,256,16.47,20.64,15.77,87,63,1013.6,1010.9,100,0,100,0,100,0,100,0,16.87,3.83,20.97,2.97,48.39,24.83,32.76,3.24,FALSE
81,2010,8,20,0,0,21.67,74.96,1019.4,1.3,0,63.61,30.67,62.25,3.25,305.58,5539.36,5.98,188.41,9.37,182.09,8.7,240.3,5.59,26.73,15.55,94,60,1021.6,1016.8,100,0,100,0,100,0,38,0,10.14,0.72,19.97,1.3,14.92,2.9,10.8,0.72,FALSE
83,2010,8,22,0,0,24.59,68.79,1018.28,0,0,17.55,9.46,17,1.04,613.63,6097.39,6.55,179.89,8.92,176.83,11.31,235.45,7.72,30.22,19.49,89,48,1022.9,1013.6,100,0,100,0,100,0,10,0,10.82,2.19,17.87,1.48,28,3.89,18.72,3.6,TRUE
85,2010,8,24,0,0,19.64,78.96,1012.55,11.5,0,56.1,21.29,43.08,39,357.19,4198.13,14.22,252.04,20.17,260.34,41.08,268.48,24.86,21.68,16.43,95,70,1017.7,1008.7,100,0,100,0,100,0,100,0,22.78,5.82,26.28,9.39,59.88,23.4,37.8,7.56,FALSE
87,2010,8,26,0,0,22.6,65.88,1013.01,0.8,0,46.73,36.33,28.08,23.58,459.87,5722.7,8.86,162.17,11.39,168.94,38.81,250.22,11.53,28.98,15.74,89,42,1017,1006.8,100,0,100,0,100,0,100,0,14.15,0,22.46,0.72,74.51,8.79,36.72,0.72,TRUE
89,2010,8,28,0,0,15.33,77.75,1016.84,0.9,0,64.08,0.46,8.67,64.08,289.31,3404.25,15.24,307.04,18.63,312.61,28.25,320.17,24.36,18.66,12.67,92,61,1020.8,1009.5,100,0,11,0,100,0,100,0,30.98,2.04,41.05,4.9,72.21,9.45,59.4,2.52,TRUE
91,2010,8,30,0,0,12.09,80.96,1015.85,14.8,0,70.08,0,35.71,70.08,264.12,2975.27,26.66,273.59,34.35,274.6,52.02,300.31,43.72,14.04,9.44,88,72,1018.6,1013.4,100,0,0,0,100,0,100,0,36.12,17.23,43.74,25.85,68.46,39.25,54.36,31.32,TRUE
93,2010,9,1,0,0,13.52,71.71,1018.63,0,0,0,0,0,0,747.2,6164.14,10.17,104.44,15.68,100.34,28.22,88.03,14.12,19.96,7.19,92,48,1021.3,1015.9,0,0,0,0,0,0,0,0,18,2.81,24.45,2.31,39.24,15.33,27,3.24,FALSE
95,2010,9,3,0,0,16.41,76.46,1017.53,0,0,33.7,4.62,17,16.96,549.47,5829.5,5.07,262.68,6.08,315.26,10.57,145.01,6.88,21.87,10.56,96,60,1019.5,1016.1,100,0,30,0,100,0,100,0,8.65,0.36,15.19,0.72,16.52,5,14.4,0.72,FALSE
97,2010,9,5,0,0,15.48,77.38,1017.9,0,0,20.32,12.08,17.58,2,650.95,5924.73,6.99,277.19,10.08,228.3,14.37,116.41,8.87,21.33,10.88,93,57,1019.4,1016.2,82,0,45,0,82,0,10,0,12.24,1.3,20.39,2.81,21.71,5.9,20.88,3.6,TRUE
99,2010,9,7,0,0,16.13,86.79,1006.1,13.8,0,95.83,88.75,95.83,87.12,60,2208.98,15.38,124.53,21.26,124.79,26.78,219.95,19.72,19.4,13.21,93,80,1009.6,1003.9,100,0,100,0,100,0,100,0,25.29,2.55,35.26,3.67,42.69,6.41,38.16,1.08,TRUE
101,2010,9,9,0,0,14.4,75.42,1016.35,0.7,0,29.29,0,20.12,23.88,689.15,3844.8,9.87,233.19,14.23,238.18,25.81,275.25,15.99,18.18,9.33,94,64,1021.8,1011.8,100,0,0,0,100,0,100,0,15.32,0.8,23.87,1.8,54.74,15.52,41.4,1.44,TRUE
103,2010,9,11,0,0,17.34,70.08,1019.73,0,0,1.04,3.46,0.21,0,757.89,5493.97,7.62,118.84,11.39,110.06,17.3,93.95,9.62,22.88,11.58,89,52,1022,1017.6,12.9,0,43,0,5,0,0,0,11.5,4.02,20.14,4.1,25.93,9.03,17.28,3.96,TRUE
105,2010,9,13,0,0,15.06,73.96,1025.43,1,0,44.01,13.83,10.62,33.29,571.54,5046.3,11.97,296.94,15.45,278.73,20.09,277.18,16.92,18,12.48,91,56,1027.3,1020.6,100,0,100,0,100,0,100,0,22.77,1.02,31.35,4.69,41.32,7.64,39.24,2.52,FALSE
107,2010,9,15,0,0,15.01,76.25,1016.75,0,0,61.8,64.38,58.33,38.38,163.13,1840.52,13.51,234.28,20.5,251.83,52.44,267.25,27.31,18.96,9.99,97,58,1021,1013.8,100,2.7,100,9,100,0,100,0,19.13,3.67,25.96,5.4,62.87,35.64,43.92,6.12,FALSE
109,2010,9,17,0,0,14.56,70.67,1014.65,0,0,80.46,10.58,73.58,37.17,268.66,4589.73,6.87,283.5,10.31,250.5,15.76,283.74,12.2,17.9,10.2,90,56,1016.5,1012.8,100,2.1,44,0,100,0,100,0,10.59,2.62,18.42,2.16,29.06,8.91,29.88,3.96,FALSE
111,2010,9,19,0,0,11.95,70.67,1018.95,0,0,11.79,8.12,10.67,2.29,762,5202.94,3.62,285.21,3.34,291.03,7.13,105.45,4.47,16.72,6.83,91,54,1020.7,1017.6,100,0,100,0,100,0,19,0,5.69,0.8,7.24,0.36,12.96,0.8,7.56,0.36,FALSE
113,2010,9,21,0,0,17.13,71.33,1018.83,0,0,0.58,1.92,0,0,791.41,5059.65,5.08,165.75,6.92,187.94,6.75,149.11,5.12,22.12,12.14,89,57,1019.9,1017.8,4.8,0,16,0,0,0,0,0,7.2,3.08,11.62,3.26,14.84,1.44,8.28,2.16,FALSE
115,2010,9,23,0,0,18.5,71.21,1014.95,0,0,20.76,19.25,18.38,0,658.25,4878.09,5.36,118.3,5.83,121.38,13.08,236.51,5.4,23.29,13.45,88,57,1018.3,1010.2,100,0,47,0,100,0,0,0,8.94,0.36,9.69,1.61,24.44,4.74,10.08,1.08,TRUE
117,2010,9,25,0,0,11.73,82.71,1006.15,6.1,0,98.29,56.17,74.29,90.29,18.51,1984.7,16.66,308.29,22.01,311.02,33.86,338.93,27.73,13.88,9.63,92,73,1010.4,1004.3,100,73,100,0,100,0,100,13,25.86,11.97,32.65,15.95,45.69,21.14,37.08,18,TRUE
119,2010,9,27,0,0,9.31,77.67,1013.01,0,0,54.75,0,0,54.75,206.33,3898.2,7.23,211.25,10.4,220.59,15.23,264.74,10.36,13.48,5.42,94,64,1015.4,1012.1,100,0,0,0,0,0,100,0,12.76,0.36,19.35,1.08,30.41,5.63,21.96,1.44,FALSE
121,2010,9,29,0,0,12.23,71.62,1018.98,0,0,14.08,6.79,5.42,8.21,675.54,4615.54,5.49,227.88,5.98,240.34,4.73,281.38,6.67,16.44,8.24,82,61,1020.5,1017.4,100,0,100,0,100,0,100,0,9.79,2.1,13.71,0.8,10.74,0.51,11.88,2.52,TRUE
123,2010,10,1,0,0,13.26,76.71,1014.89,0,0,51.74,36.92,40.04,19.54,501.36,4140.28,7.11,204.72,10.42,209.02,17.97,251.41,12.78,16.69,9.32,91,56,1016.5,1012.9,100,3.3,100,0,100,0,100,0,14.51,1.61,21.39,0.72,35.9,0,33.12,1.8,FALSE
125,2010,10,3,0,0,16.27,75.12,1010,0,0,17.31,17.5,10.42,12.5,671.77,4332.52,13.06,120.99,23.41,122.03,13.39,174.98,12.21,22.76,9.5,94,57,1013.1,1006.5,100,0,84,0,88,0,100,0,20.07,8.59,32.06,15.63,33.7,0.72,24.48,5.4,FALSE
127,2010,10,5,0,0,16.04,79.04,1008.32,0.1,0,39,9.33,30.33,32.75,501.21,3996.99,10.68,198.47,13.67,207.86,30.35,253.44,14.03,19.04,13.74,94,65,1012.7,1002.9,100,0,100,0,100,0,100,0,19.44,1.84,22.67,0.72,58.84,13.53,30.96,1.44,FALSE
129,2010,10,7,0,0,17.46,72.21,1017.16,0,0,1.31,4.38,0,0,623.32,4114.47,7.64,118.66,11.93,114.22,19.03,121.93,10.83,22.36,12.2,86,60,1019,1015.4,6,0,20,0,0,0,0,0,12.31,4.2,23.24,3.42,27.68,6.03,30.24,3.96,FALSE
131,2010,10,9,0,0,15.86,78.79,1015.42,0,0,13.84,6,6.79,6.92,627.95,3994.32,8.47,157.05,15.45,149.54,9.92,95.72,12.39,20.69,8.9,93,65,1018,1011.9,100,0,26,0,39,0,100,0,13.55,1.3,24.57,2.55,21.66,2.28,31.68,3.24,FALSE
133,2010,10,11,0,0,8.99,78.17,1009.36,0,0,32.61,31.12,0,30.46,406.22,3662.35,4.78,241.77,6.35,223.24,38.25,91.48,6.12,13.93,4.53,94,59,1011.9,1007.3,100,0,100,0,0,0,100,0,8.12,0,19.52,1.3,59.81,10.7,26.64,1.8,FALSE
135,2010,10,13,0,0,7.98,84.17,1013.05,0,0,38.88,0,0,38.88,408.7,3368.65,6.27,296.62,7.46,304.59,22.63,82.13,8.17,14.24,3.73,95,64,1014.3,1011.1,100,0,0,0,0,0,100,0,11.75,2.74,16.39,2.6,34.03,7.7,17.64,2.88,FALSE
137,2010,10,15,0,0,7.7,82.54,1013.74,0,0,43.82,19.62,1.62,41,401.2,3577.8,6.48,292.07,8.6,292.32,17.55,155.71,8.25,12.76,3.25,94,67,1015.7,1011.1,100,0,100,0,39,0,100,0,16.17,2.28,23.04,0,30.24,2.16,20.16,2.88,TRUE
139,2010,10,17,0,0,7.32,87.54,1014.6,0.2,0,100,0,57.29,100,0,1498.76,15.7,207.1,21.11,195.79,24.15,43.78,26.32,10.52,4.4,96,72,1017.1,1011.8,100,100,0,0,100,0,100,100,23.42,6.57,29.27,10.5,39.95,5.4,36.36,7.92,FALSE
141,2010,10,19,0,0,7.32,80.54,1014.18,1,0,66.05,40.96,50.71,54.92,51.14,2247.25,15.85,221.56,20.19,240.19,40.54,266.87,26.85,11.93,2.1,90,65,1019.7,1008.9,100,0,100,0,100,0,100,0,29.18,2.81,37.14,3.26,70.74,9.5,55.08,2.16,TRUE
143,2010,10,21,0,0,4.77,79.04,1025.72,0,0,32.6,0.33,0,32.5,393.82,3295.67,5.11,195.25,7.51,220.53,12.36,242.72,8.16,8.47,1.9,95,61,1028.2,1022.2,100,0,8,0,0,0,100,0,15.91,0.36,22.96,0.51,39.05,2.28,30.96,1.44,FALSE
145,2010,10,23,0,0,11.31,77.04,1013.85,2.7,0,91.99,49.29,61.92,73.79,70.1,2345.15,10.55,189.66,14.75,200.57,45.64,249.66,18.76,15.93,6.9,95,58,1018.6,1009,100,8.7,100,0,100,0,100,0,21.48,1.8,28.51,1.08,64.98,33.44,46.44,2.16,TRUE
147,2010,10,25,0,0,6.04,81.54,1017.92,0,0,67.38,14.5,64.62,56.25,166.44,2734.97,19.58,172.46,25.73,144.78,42.45,44.4,32.07,9.4,3.59,96,60,1023.6,1013.7,100,0,100,0,100,0,100,0,29.6,10.31,33.47,19.6,64.5,29.78,44.64,23.4,FALSE
149,2010,10,27,0,0,7.09,68.42,1026.51,0,0,47.92,29.33,21.21,37.92,273.95,2665.55,8.82,117.9,14.48,120.6,7.84,129.91,12.03,11.9,2.7,81,58,1028.8,1023.8,100,0,100,0,100,0,100,0,13.89,5.12,24.12,8.67,22.73,0,30.24,3.24,FALSE
151,2010,10,29,0,0,9.73,72.29,1014.97,0,0,1.89,6.29,0,0,597.71,3124.79,13.58,120.54,23.83,122.63,13.76,197.93,11.04,16.71,3.66,89,56,1020.9,1009.2,6,0,20,0,0,0,0,0,21.47,6.92,32.4,13.28,25.66,7.97,18,5.4,FALSE
153,2010,10,31,0,0,10.88,75.67,1001.4,0,0,71.67,59.25,71.58,12.58,269.69,2293.53,9.03,144.91,13.53,148.69,17.96,125.05,13.93,15.84,7.1,87,57,1005.7,997.6,100,0,100,0,100,0,100,0,15.14,2.04,27.38,1.3,34.81,5.12,32.04,3.6,FALSE
155,2010,11,2,0,0,9.87,83.62,1016.84,0,0,60.52,30.92,7.54,52.04,241.97,2289.97,9.91,272.16,13.41,283.19,14.03,265.93,13.95,12.96,7.19,93,71,1021,1011.3,100,0.9,100,0,100,0,100,0,16.39,5.09,19.92,6.92,22.15,3.42,24.12,7.2,FALSE
157,2010,11,4,0,0,14.2,78,1027.19,0,0,45.46,24.42,0,41.88,192.15,2071.03,9.6,221.57,15.83,244.18,38.97,267.26,15.09,19.14,10.54,86,69,1028.9,1024.6,100,3.9,81,13,0,0,100,0,18.78,3.55,22.61,6.15,50.42,33.54,27.72,6.12,FALSE
159,2010,11,6,0,0,12.78,76.12,1018.67,0,0,56,51.04,36.21,19.04,239.12,2299.76,12.25,243.21,18.9,254.22,45.94,265.05,29.19,15.97,9.16,92,68,1024.4,1010.5,100,0.9,100,0,100,0,100,0,23.4,6.52,27,10.39,56.55,34.52,41.4,9.36,TRUE
161,2010,11,8,0,0,6.42,76.12,989.16,2,0,86.62,24.29,74.75,58.38,172.27,2231.23,12.55,218.49,16.22,219.71,27.82,228.09,26.02,9.2,4.49,91,55,999.5,979.6,100,0,100,0,100,0,100,0,22.01,2.19,27.68,4.9,49.08,8.28,50.76,7.2,TRUE
163,2010,11,10,0,0,8.76,75.38,990.56,2.7,0,99.04,29.54,97.67,90.33,10.85,1225.53,12.82,197.87,17.7,212.08,41.02,245.06,27.25,12.12,6.49,88,58,1005.2,982,100,77,100,0,100,71,100,3,28.45,1.48,37.09,2.88,58.16,16.85,47.52,4.68,TRUE
165,2010,11,12,0,0,13.29,72.67,1005.14,2,0,86.38,57.92,64,70.54,0,1413.32,34.1,245.46,44.38,245.61,86.92,253.9,68.95,16.07,8.35,80,68,1007.5,1001.7,100,20,100,0,100,0,100,0,42.51,16.92,55.5,23.05,121.92,62.59,94.68,50.76,FALSE
